Alimiento;Medida casera;Cantidad (g-ml);HC (g);Prot. (g);Grasa (g);Na (mg);K (mg);P (mg);Ca (mg);Fe (mg);Colest (mg);Purinas (mg);Fibra (g);Agua (g);Calorías
Tomate (con semillas);1 grande;200 g;9.2;1.6;0.6;6;460;48.0;14.0;1.2;-;20.0;1.2;188.0;48.6
VEGETALES B;;;0;0;0;0;0;;;;;;0;;0
Arveja enlatada;1 cucharada;25 g;4.4;0.2;0.1;72.8;72.8;4.3;2.3;0.4;-;21.0;0.4;21.8;19.3
Arveja natural cocida;1 cucharada;25 g;5.3;1.9;0.1;0.5;79;31.0;6.0;0.5;-;11.8;0.8;17.5;29.7
Calabaza;1 taza (té);100 g;7.6;0.6;0.2;1;260;22.0;19.0;0.5;-;-;0.7;91.0;34.6
Cebolla;1 chica;90 g;7.5;1.4;0.2;0.9;117;37.8;30.6;1.3;-;8.1;0.9;81.0;37.4
Cebolla;1 mediana;120 g;10;1.8;0.2;1.2;156;50.4;40.8;1.7;-;10.8;1.2;108.0;49
Cebolla;1 grande;200 g;16.6;3;0.4;2;260;84.0;68.0;2.8;-;18.0;2;180.0;82
Cebollita de hoja;1 cucharada;5 g;0.3;0.1;0;0.2;21.7;3.8;3.8;0.1;-;0.5;0;4.6;1.7
Chaucha;½ taza (té);50 g;3.3;1;0.1;17;63;22.5;27.5;0.6;-;12.5;0.6;45.0;18.1
Lenteja;1 cucharada;15 g;9;3.7;0.2;4.5;11.9;56.6;11.9;1.0;-;17.1;0.6;1.6;52.6
Locote entero;1 pequeño;80 g;6.4;1.8;0.1;0.8;136;22.4;6.4;1.4;-;*;1.8;71.5;33.7
Palmito;1 taza (té);150 g;7.8;3.3;0.3;67.5;504;118.5;129.0;102.0;-;*;0.9;136.5;47.1
Poroto (manteca);1 cucharada;10 g;1.3;0.5;0;33.6;22;-;-;-;-;4.7;0.7;-;7.2
Poroto (negros o rojos);1 cucharada;10 g;6.1;2.2;0.2;1.9;119.6;42.5;7.7;0.8;-;2.5;0.5;1.1;35
Remolacha;1 pequeña;100 g;9.5;1.7;0.1;110;350;38.0;14.0;0.8;-;15.0;0.7;88.0;45.7
Repollo;1 taza (té);100 g;6.1;1.7;0.2;5;230;36.0;43.0;0.7;-;25.0;3.1;91.0;33
Soja cruda (brote);1 taza;50 g;2.7;3.1;0.7;15;190;3.4;24.0;0.5;-;190.0;0.4;41.0;29.5
Zanahoria;1 chica;70 g;6.2;0.5;0.3;21.7;287;18.2;23.8;0.6;-;16.1;0.6;62.3;29.5
Zanahoria;1 mediana;100 g;8.9;0.8;0.4;31;410;26.0;34.0;0.9;-;23.0;0.9;89.0;42.4
